provider,provider_id,model,model_id,family,tool_call,reasoning,attachment,structured_output,temperature,input_cost_1m,output_cost_1m,context_limit,input_limit,output_limit,modalities_in,modalities_out,open_weights,knowledge_cutoff,release_date,last_updated,status,probe,last_synced
AIHubMix,aihubmix,ByteDance-Seed/Seed-OSS-36B-Instruct,ByteDance-Seed/Seed-OSS-36B-Instruct,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,DeepSeek OCR,DeepSeek-OCR,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,DeepSeek-V3,DeepSeek-V3,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,DeepSeek V3.1 Terminus,DeepSeek-V3.1-Terminus,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,Agnes 2.5 Flash,agnes-2.5-flash,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,agnes-2.5-pro,agnes-2.5-pro,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,Agnes 2.5 Pro Alpha,agnes-2.5-pro-alpha,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,aihubmix-router,aihubmix-router,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,anthropic-opus-4-6,anthropic-opus-4-6,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,Auto Route,auto,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,bai-qwen3-vl-235b-a22b-instruct,bai-qwen3-vl-235b-a22b-instruct,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,baidu-deepseek-v4-pro-0813,baidu-deepseek-v4-pro-0813,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-MiniMax-M2,cc-MiniMax-M2,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-deepseek-v3.1,cc-deepseek-v3.1,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-glm-5,cc-glm-5,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-glm-5-turbo,cc-glm-5-turbo,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-minimax-m2,cc-minimax-m2,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-minimax-m2.1,cc-minimax-m2.1,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-minimax-m2.5,cc-minimax-m2.5,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-minimax-m2.5-highspeed,cc-minimax-m2.5-highspeed,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
AIHubMix,aihubmix,cc-minimax-m2.7,cc-minimax-m2.7,,,,,,,0,0,,,,,,,,,,,ok,2026-08-30T22:29:42Z
